Annual_Income,Declared_Tax,Deduction_Risk,Expense_Anomaly,Investment_Mismatch,Cash_Transaction_Risk,Business_Loss_Risk,Asset_Underreporting,Refund_Claim_Risk,Compliance_Risk,Income_Variation,Previous_Audit_Flag,Penalty_History,High_Value_Transactions,Foreign_Asset_Score,GST_Mismatch,Suspicious_Deduction,Shell_Company_Link,Frequent_ITR_Revisions,Cash_Deposit_Spike,High_Risk_Industry,Fraud
1892743,164163,0,28,12,21,82,78,26,48,47,1,0,17,50,0,1,1,1,0,1,0
4504572,841926,80,94,1,66,54,82,54,41,75,1,1,72,95,0,1,0,1,1,1,1
2434489,108864,24,43,89,98,2,56,3,43,55,0,0,63,41,0,0,1,1,0,0,1
1770006,941114,58,35,14,79,98,94,67,0,88,0,0,48,10,1,1,0,1,0,0,1
1336074,399295,71,18,45,58,68,56,71,6,90,1,1,93,67,0,1,0,1,1,0,1
4244887,624674,68,5,56,24,34,15,69,47,69,1,1,34,92,1,0,1,0,1,1,0
1439911,444967,4,24,9,16,50,78,88,84,86,1,0,93,51,1,0,1,1,1,1,1
4672471,615414,98,30,21,38,26,5,26,15,14,0,0,38,97,1,1,0,1,0,1,0
2338242,453648,18,8,88,76,36,13,46,47,38,0,1,57,72,0,1,0,1,0,0,0
4723669,691311,22,83,78,91,84,26,39,77,68,1,1,56,9,1,0,0,0,0,1,1
1966891,610151,8,73,76,74,15,37,83,42,86,1,1,5,71,1,1,0,1,0,0,1
4721373,345435,93,36,7,73,91,18,26,50,78,0,1,77,62,0,0,0,0,1,1,1
3544769,130659,49,26,20,38,24,36,6,65,88,1,0,92,35,0,0,1,0,1,0,1
991743,720232,15,12,84,23,32,3,22,30,59,0,0,95,95,0,1,0,0,0,0,0
303355,12235,32,40,21,37,61,57,83,38,93,1,0,77,44,0,0,0,1,0,0,1
1462752,349877,1,65,96,87,16,89,63,8,43,1,1,19,5,0,1,0,1,0,0,1
1596025,67712,13,84,44,96,42,8,97,40,42,0,1,49,5,0,1,0,1,1,1,0
1507371,157545,0,96,90,80,29,39,28,62,3,1,0,8,90,1,0,1,1,1,0,1
1117040,727927,89,23,39,56,40,14,60,13,76,1,1,75,65,1,1,1,0,1,1,1
2453882,767178,57,43,21,43,3,3,43,57,49,0,1,13,72,1,1,0,1,0,1,0
3730409,130849,88,97,29,35,65,89,68,73,38,0,0,22,63,0,0,0,0,0,1,1
4921339,260493,15,59,61,98,59,51,26,87,53,0,0,47,37,1,1,0,0,0,1,1
1700942,609111,78,8,72,69,8,17,11,96,22,0,1,97,68,0,0,0,1,1,0,1
4460029,109215,89,1,44,79,30,52,16,97,59,0,0,79,97,0,0,1,1,1,0,1
3475709,770359,46,55,34,44,88,58,36,83,79,1,0,81,60,0,1,1,0,0,1,1
284654,37230,43,29,81,91,99,98,33,63,34,1,1,55,77,1,1,1,0,0,0,1
2154354,351717,79,21,41,95,68,53,93,27,53,0,1,39,73,1,1,0,1,1,0,1
2616182,752948,13,74,4,25,23,40,35,3,57,0,1,96,62,0,1,0,1,0,0,0
3674675,467092,92,80,26,10,23,59,5,33,61,1,1,68,70,1,0,0,1,1,1,1
2852991,307788,23,99,69,51,92,92,95,3,79,0,0,38,19,1,1,0,0,0,1,1
2628388,184736,54,12,61,24,44,87,31,69,47,0,1,73,74,1,1,1,0,0,0,1
728178,836635,14,70,31,30,94,3,72,57,6,0,1,85,76,1,1,0,0,0,0,0
2863046,333821,82,15,7,84,36,84,21,85,44,1,0,42,63,0,0,0,0,1,0,1
2786644,423641,71,96,84,44,57,38,9,3,12,0,0,96,80,0,0,1,1,1,1,1
2770406,652534,33,44,17,66,82,6,28,49,52,1,0,30,36,1,0,0,1,0,1,0
3616664,89817,1,64,77,75,22,22,10,4,92,1,1,69,35,1,1,0,1,0,1,1
3585659,243657,26,10,14,39,34,84,91,74,38,0,1,99,96,0,0,0,1,1,1,1
3585357,222033,73,69,25,45,62,62,65,44,83,0,0,2,9,0,0,0,1,1,0,1
