Feature,SHAP_Value
Compliance_Risk,0.0974
Income_Variation,0.093
Cash_Transaction_Risk,0.0866
High_Value_Transactions,0.0834
Asset_Underreporting,0.0827
Deduction_Risk,0.0811
Expense_Anomaly,0.0808
Investment_Mismatch,0.076
Business_Loss_Risk,0.0054
Annual_Income,0.0053
Foreign_Asset_Score,0.0049
Declared_Tax,0.0045
Refund_Claim_Risk,0.0039
Previous_Audit_Flag,0.0024
Frequent_ITR_Revisions,0.002
Penalty_History,0.0017
Cash_Deposit_Spike,0.0017
Shell_Company_Link,0.0016
Suspicious_Deduction,0.0016
High_Risk_Industry,0.0015
GST_Mismatch,0.0014
